"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13275","Verify YouTube Homepage","youtube","Mon Jan 20 17:42:32 IST 2025","failed","Mon Jan 20 17:42:45 IST 2025","T001-YouTube Automation Test","youtube.spec.js","",""
"","12818","Verify YouTube Homepage","chromium","Mon Jan 20 17:42:32 IST 2025","failed","Mon Jan 20 17:42:45 IST 2025","T001-YouTube Automation Test","youtube.spec.js","",""
